Sno,Name,Website,Description
1,Aspiring Minds,http://aspiringminds.com,AM Research is a division of Aspiring Minds. Aspiring Minds aspires to build an assessment-driven job marketplace (a SAT/GRE for jobs) to drive accountability in higher education and meritocracy in labor markets. The products developed based on our research has impacted more than two million lives and the resulting data is a source of continuous new research.
13,Aureus,http://www.aureusanalytics.com/,Aureus is a provider of Big Data & Predictive Analytics products for insurance and banking sector that empower insights at the point of decision.
14,Innov4Sight Health and Biomedical Systems,http://www.4sight-health.com/index.html,It is a start-up company with great analytical capabilities to access and explore structured and unstructured cancer data. This project has been termed as “ParSight”
9,Ati Motors,https://www.atimotors.com/,Autonomous electric cargo vehicle.
15,Auquan,http://auquan.com/,"Auquan aims to build the next-gen algorithmic trading tools and platform to allow anyone to develop high quality trading strategies. We believe that extremely talented people equipped with right knowledge, skills and attitude can design highly successful trading strategies. We want to engage anyone with a quantitative background -ML Engineers, Data Scientists, Developers- anyone with exceptional analytical skills (with or without any finance domain knowledge) and enable them to apply the skills from their respective fields to write successful trading algorithms."
5,AlgoAnalytics,http://algoanalytics.com/,"AlgoAnalytics has years of expertise in data analytics and quantitative trading. They work at the intersection of mathematics, computer science and other domains. Their core expertise is in the development of advanced mathematical models or solutions for a range of industries, including Retail, Economics, Healthcare, BFSI, and Telecom. They also work in the domain of Trading and have released our own product, the Mutual Funds Action Predictor. They also provide strategy-based investment advice to proprietary trading desks of brokerages, hedge funds, managed funds, corporate treasuries and high net-worth individuals (HNI/Super-HNI)."
16,Norah.ai,https://norah.ai,"Norah AI is a revolutionary, A.I. empowered workflow for generating games. The A.I. enables quick creation and incorporation of all different game elements ranging from creation of 3D models and their animation to story weaving and texturing."
17,Brainasoft,http://www.brainasoft.com/,"Brainasoft is a leading human-computer interaction software development company. Our areas of interest include artificial intelligence, command shell and data security."
3,Bridgei2i,http://www.bridgei2i.com/,"BRIDGEi2i is a trusted partner for enabling data-driven business transformation in enterprises by leveraging advanced analytics, domain expertise, and AI-powered technology accelerators. BRIDGEi2i enables businesses to contextualize data, generate actionable insights from complex business problems, and make data-driven decisions across pan-enterprise processes to create sustainable business impact."
56,Cognizant Data Sciences,https://www.cognizant.com/strategies/Data-Science,
18,Crayon Data,http://crayondata.com/,Crayon simplifies the world's choices - powers enterprises with the big data capability to offer ultrapersonalized choices to consumers.
19,Dataswft,http://www.dataswft.com/,Dataswft is software product for Data Driven Experiences. Dataswsft is ideal for new product/service initiatives whose success is hinged on reliable insights and actionable predictions mined from large scale data at great speed. Dataswft product combines big data engineering with advanced machine learning.
20,dataweave,http://www.dataweave.com/,"DataWeave provides actionable data by aggregating, parsing, organizing and visualizing millions of data points from the Web."
21,Flipkart,http://flipkart.com,"Flipkart is an electronic commerce company headquartered in Bengaluru, India. It was founded in October 2007 by Sachin Bansal and Binny Bansal (no relation). Flipkart has launched its own product range under the name ""DigiFlip"" with products including tablets, USBs, and laptop bags."
4,Artivatic,http://artivatic.com/,Artivatic is AI/NLP powered next-gen Human Genome Intelligence & voice technology based product to enable enterprises to take help consumers to take automated decisions in real time.
22,Flutura,http://www.flutura.com/,Flutura is a niche Big data analytics solutions company with a vision to transform operational outcomes by monetizing machine data.
12,Formcept,http://www.formcept.com/,"FORMCEPT is a Unified Data Analysis platform, which helps enterprises derive actionable insights from large volumes of external and internal data quickly, thereby significantly reducing the data-to-decision conversion time."
8,Hypothizer,http://hypothizer.com//,"Hypothizer provides APIs in Computer Vision using Deep Neural Network. It includes Feature Recognition, Scene Text Recognition, Scene Recognition, Image Segmentation."
23,"KBCS, CDAC",http://kbcs.in/,CDAC conducts short term courses on data science and provides consultancy in the area to various government and private organisations.
24,Fractal Analytics,http://www.fractalanalytics.com/,"Founded in 2000, Fractal Analytics is a strategic analytics partner to the most admired Fortune 500 companies globally and helps them power every human decision in the enterprise by bringing analytics & AI to the decision-making process."
25,Gemini8,http://germin8.com/,"Social media intelligence platform to listen, engage AND act | Ask for free demo today."
