Link,Name,Affiliation,Tags
https://www.linkedin.com/in/adhish-prasoon-0a534217?authType=name&authToken=21t9&locale=en_US&srchid=3509665261474273676508&srchindex=26&srchtotal=3107&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474273676508%2CVSRPtargetId%3A57566717%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3Aname,Adhish Prasoon,Lead Data Scientist at Mobileum Inc,
https://www.linkedin.com/in/tavpritesh?authType=name&authToken=JcfY&trk=contacts-contacts-list-contact_name-0,Dr Tavpritesh Sethi,Assistant Professor at IIIT-Delhi,
https://www.linkedin.com/in/saurabhsrivastava9?authType=name&authToken=bioQ&trk=contacts-contacts-list-contact_name-0,Saurabh Srivastava,Research Scientist- Human Computer Interaction,
https://www.linkedin.com/in/joshihersh?authType=name&authToken=HkhJ&trk=contacts-contacts-list-contact_name-0,Hersh Joshi,SkilEmp Tech | Data Analytics | Marketing Automation,
https://www.linkedin.com/in/pradeep-mishra-5a5363123?authType=name&authToken=e1_S&trk=contacts-contacts-list-contact_name-0,Pradeep Mishra,Data Scientist at Metacube Software Pvt Ltd,
https://www.linkedin.com/in/aadhikary?authType=name&authToken=7pAo&trk=contacts-contacts-list-contact_name-0,Abinash Adhikary,Chief Data Scientist at Statistics,
https://www.linkedin.com/in/navash?authType=name&authToken=4Y7p&trk=contacts-contacts-list-contact_name-0,Naveen A.,"CoFounder & Director, Innovatesmind Technologies",
https://www.linkedin.com/in/vaibhav-rajan-b76a4613?authType=name&authToken=35jk&trk=Skyline_click_NBM&sl=NBM%3B350966526%3A1474268145585%3B0%3B127654926%3B,Vaibhav Rajan,Senior Research Scientist at Xerox Research Centre India,
https://www.linkedin.com/in/arijit-biswas-46690236?authType=name&authToken=6MYy&trk=contacts-contacts-list-contact_name-0,Arijit Biswas,Machine Learning Scientist at Amazon Core Machine Learning,
https://www.linkedin.com/in/yogesh-kumar-7006838?authType=OUT_OF_NETWORK&authToken=jF6R&locale=en_US&srchid=3509665261474270005932&srchindex=5&srchtotal=5573&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474270005932%2CVSRPtargetId%3A25552944%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3AOUT_OF_NETWORK,Yogesh Kumar,Lead Data Scientist at Annik Technnology Services Pvt. Ltd.,
https://www.linkedin.com/in/kushkhurana?authType=OPENLINK&authToken=Rb72&locale=en_US&srchid=3509665261474270005932&srchindex=6&srchtotal=5573&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474270005932%2CVSRPtargetId%3A21402703%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3AOPENLINK,Kush Khurana,Lead Data Scientist at Mobileum,
https://www.linkedin.com/in/sreenivas-kalahasti-8507a05b?authType=OPENLINK&authToken=sex4&locale=en_US&srchid=3509665261474270005932&srchindex=8&srchtotal=5573&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474270005932%2CVSRPtargetId%3A213955260%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3AOPENLINK,Sreenivas Kalahasti,Lead Data Scientist at Vertex Computer Systems,
https://www.linkedin.com/in/ashishiimc?authType=OPENLINK&authToken=1l_n&locale=en_US&srchid=3509665261474270053469&srchindex=10&srchtotal=3107&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474270053469%2CVSRPtargetId%3A58836306%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3AOPENLINK,Ashish Kumar,Lead Data Scientist Envisioning Leanml.com,
https://in.linkedin.com/in/manish-gupta-4556591,Dr. Manish Gupta,"VP, Xerox Research Center India",
https://www.linkedin.com/in/renjithpaulose?authType=name&authToken=mMWi&locale=en_US&srchid=3509665261474270053469&srchindex=6&srchtotal=3107&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474270053469%2CVSRPtargetId%3A23656033%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3Aname,Renjith Paulose,Technical Lead Data Science at Lochbridge,
https://www.linkedin.com/in/ujwalbhate?authType=name&authToken=KyMF&locale=en_US&srchid=3509665261474270053469&srchindex=2&srchtotal=3107&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474270053469%2CVSRPtargetId%3A395620471%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3Aname,Ujwal Bhate,Machine Learning and Data Monetization C.o.E. Lead at Infosys,
https://sites.google.com/site/aviseklahiri/home,Avisek Lahiri,"Post doctoral student, IIT Kharagpur",
http://researchweb.iiit.ac.in/~anand.mishra/,Anand Mishra,Research fellow at IIIT Hyderabad,
https://www.linkedin.com/in/nikhil-priyatam-pattisapu-31608667?authType=name&authToken=H0xH&locale=en_US&srchid=3509665261463110795893&srchindex=2&srchtotal=76&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261463110795893%2CVSRPtargetId%3A236069442%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3Aname,Nikhil Priyatam Pattisapu,PhD Student at IIIT Hyderabad,
https://www.linkedin.com/in/prachi-jain-7bb79738?authType=name&authToken=gP6T&locale=en_US&srchid=3509665261463113921229&srchindex=2&srchtotal=45&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261463113921229%2CVSRPtargetId%3A133324991%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3Aname,Prachi Jain,PhD Student at IIT Delhi,
https://www.linkedin.com/in/priya-radhakrishnan-36728735?authType=name&authToken=ZS-Z&locale=en_US&srchid=3509665261463110821943&srchindex=3&srchtotal=46&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261463110821943%2CVSRPtargetId%3A123101503%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3Aname,Priya Radhakrishnan,PhD Student at IIIT Hyderabad,
https://www.linkedin.com/in/sonalgoyal?authType=name&authToken=X4Dq&trk=contacts-contacts-list-contact_name-0,Sonal Goyal,Founder at Nube Technologies,
https://www.linkedin.com/in/karthik-r-2b01b424?authType=name&authToken=iD_a&locale=en_US&srchid=3509665261474273954159&srchindex=31&srchtotal=3107&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474273954159%2CVSRPtargetId%3A84091812%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3Aname,Karthik R,Data Scientist at Tiger Analytics,
https://www.linkedin.com/in/vempatisreekanth?authType=name&authToken=sp6H&trk=prof-sb-browse_map-name,Sreekanth Vempati,Data Scientist at Myntra.com,
