Link,Name,Affiliation,Tags
https://www.linkedin.com/in/adhish-prasoon-0a534217?authType=name&authToken=21t9&locale=en_US&srchid=3509665261474273676508&srchindex=26&srchtotal=3107&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474273676508%2CVSRPtargetId%3A57566717%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3Aname,Adhish Prasoon,Lead Data Scientist at Mobileum Inc,"Computer Vision, Machine Learning"
https://www.linkedin.com/in/shashank-srikant-965aa125,Shashank Srikant,"Senior Research and Development Engineer, Aspiring Minds","Automatic Program Grading, Pattern Recognition."
https://www.linkedin.com/in/varunaggarwal2,Varun Aggarwal,"CTO, Aspiring Minds","Speech Recognition, Automatic Program Grading"
https://www.linkedin.com/in/bhanu-pratap-singh-07180346,Bhanu Pratap Singh,Research and Development Engineer at Aspiring Minds,"Speech Recognition, Computational Neuroscience"
https://vgupta123.github.io,Vivek Gupta,"Research Fellow, Machine Learning, Natural Language Systems and Applications , Microsoft Research India",Natural Langauge Processing and Machine Learning
https://www.linkedin.com/in/gursimar,Gursimran Singh,"Research and Development Engineer, Aspiring Minds","Machine Learning, Automatic Program Grading"
https://www.linkedin.com/in/rohittakhar/,Rohit Takhar,"Research Engineer, Aspiring Minds",Automatic Program Grading and Feedback Generation
https://www.linkedin.com/in/tavpritesh?authType=name&authToken=JcfY&trk=contacts-contacts-list-contact_name-0,Dr Tavpritesh Sethi,Assistant Professor at IIIT-Delhi,"Data Science, Healthcare"
https://www.linkedin.com/in/shiju-ss-36b9371b,Shiju S. S.,"PhD student in machine learning, Indian Institute of Space Science and Technology","Stochastic Gradient Decent (SGD), Support Vector Machines (SVMs)"
https://www.linkedin.com/in/saurabhsrivastava9?authType=name&authToken=bioQ&trk=contacts-contacts-list-contact_name-0,Saurabh Srivastava,Research Scientist- Human Computer Interaction,"HCI, Data Visualization"
https://www.linkedin.com/in/joshihersh?authType=name&authToken=HkhJ&trk=contacts-contacts-list-contact_name-0,Hersh Joshi,SkilEmp Tech | Data Analytics | Marketing Automation,"Information Extraction and Retrieval, Predictive Analytics"
https://www.linkedin.com/in/pradeep-mishra-5a5363123?authType=name&authToken=e1_S&trk=contacts-contacts-list-contact_name-0,Pradeep Mishra,Data Scientist at Metacube Software Pvt Ltd,"Text Mining, Predictive Modelling"
https://www.linkedin.com/in/aadhikary?authType=name&authToken=7pAo&trk=contacts-contacts-list-contact_name-0,Abinash Adhikary,Chief Data Scientist at Statistics,"Statistics, Data Science"
https://www.linkedin.com/in/navash?authType=name&authToken=4Y7p&trk=contacts-contacts-list-contact_name-0,Naveen A.,"CoFounder & Director, Innovatesmind Technologies","Big Data Analytics, Predictive Modelling"
https://www.linkedin.com/in/vaibhav-rajan-b76a4613?authType=name&authToken=35jk&trk=Skyline_click_NBM&sl=NBM%3B350966526%3A1474268145585%3B0%3B127654926%3B,Vaibhav Rajan,Senior Research Scientist at Xerox Research Centre India,"Machine learning, Bioinformatics"
https://www.linkedin.com/in/arijit-biswas-46690236?authType=name&authToken=6MYy&trk=contacts-contacts-list-contact_name-0,Arijit Biswas,Machine Learning Scientist at Amazon Core Machine Learning,"Deep Learning, Computer Vision"
https://www.linkedin.com/in/yogesh-kumar-7006838?authType=OUT_OF_NETWORK&authToken=jF6R&locale=en_US&srchid=3509665261474270005932&srchindex=5&srchtotal=5573&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474270005932%2CVSRPtargetId%3A25552944%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3AOUT_OF_NETWORK,Yogesh Kumar,Lead Data Scientist at Annik Technnology Services Pvt. Ltd.,"Machine Learning, Business Analytics"
https://www.linkedin.com/in/kushkhurana?authType=OPENLINK&authToken=Rb72&locale=en_US&srchid=3509665261474270005932&srchindex=6&srchtotal=5573&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474270005932%2CVSRPtargetId%3A21402703%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3AOPENLINK,Kush Khurana,Lead Data Scientist at Mobileum,"Statistical Modelling, Machine Learning"
https://www.linkedin.com/in/sreenivas-kalahasti-8507a05b?authType=OPENLINK&authToken=sex4&locale=en_US&srchid=3509665261474270005932&srchindex=8&srchtotal=5573&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474270005932%2CVSRPtargetId%3A213955260%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3AOPENLINK,Sreenivas Kalahasti,Lead Data Scientist at Vertex Computer Systems,"Statistical Modelling, Predictive Analytics"
https://www.linkedin.com/in/ashishiimc?authType=OPENLINK&authToken=1l_n&locale=en_US&srchid=3509665261474270053469&srchindex=10&srchtotal=3107&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474270053469%2CVSRPtargetId%3A58836306%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3AOPENLINK,Ashish Kumar,Lead Data Scientist Envisioning Leanml.com,"Machine Learning, Data Modeling"
https://in.linkedin.com/in/manish-gupta-4556591,Dr. Manish Gupta,"VP, Xerox Research Center India","Machine Learning, Big Data"
https://www.linkedin.com/in/renjithpaulose?authType=name&authToken=mMWi&locale=en_US&srchid=3509665261474270053469&srchindex=6&srchtotal=3107&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3509665261474270053469%2CVSRPtargetId%3A23656033%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3Aname,Renjith Paulose,Technical Lead Data Science at Lochbridge,"Bioinformatics, Predictive Modeling"
