Title,Authors_with_affiliations,Conf,Year,Cited_by
From local to global: Edge profiles to camera motion in blurred images,"Subeesh V., Department of Electrical Engineering, Indian Institute of Technology Madras, India; Rajagopalan, A.N., Department of Electrical Engineering, Indian Institute of Technology Madras, India",CVPR,2017,1
Unrolling the Shutter: CNN to Correct Motion Distortions,"Vijay R., Department of Electrical Engineering, Indian Institute of Technology Madras, India; Yogesh, B., University of Maryland; Rajagopalan, A.N., Department of Electrical Engineering, Indian Institute of Technology Madras, India",CVPR,2017,1
From Bows to Arrows: Rolling Shutter Rectification of Urban Scenes,"Vijay R., Department of Electrical Engineering, Indian Institute of Technology Madras, India; Rajagopalan, A.N., Department of Electrical Engineering, Indian Institute of Technology Madras, India; Aravind, R., Department of Electrical Engineering, Indian Institute of Technology Madras, India",CVPR,2016,5
Mathematical modeling and convergence analysis of trail formation,"Shah, S., Dept. of Electrical Engg., IIT Delhi, Hauz Khas, New Delhi 110016, India; Kothari, R., IBM, India Research Lab., Institutional Area, 4 Block C, Vasant Kunj, New Delhi- 110070, India; Jayadeva, J., Dept. of Electrical Engg., IIT Delhi, Hauz Khas, New Delhi 110016, India; Chandra, S., Dept. of Mathematics, IIT Delhi, Hauz Khas New Delhi 110016, India",AAAI,2008,5
Catching the long-tail: Extracting local news events from Twitter,"Agarwal, P., TCS Innovation Labs - Delhi, Tata Consultancy Services, 154B, Block A, Sector 63, Noida, Uttar Pradesh 122106, India; Vaithiyanathan, R., TCS Innovation Labs - Delhi, Tata Consultancy Services, 154B, Block A, Sector 63, Noida, Uttar Pradesh 122106, India; Sharma, S., TCS Innovation Labs - Delhi, Tata Consultancy Services, 154B, Block A, Sector 63, Noida, Uttar Pradesh 122106, India; Shroff, G., TCS Innovation Labs - Delhi, Tata Consultancy Services, 154B, Block A, Sector 63, Noida, Uttar Pradesh 122106, India",AAAI,2012,4
Beyond independent agreement: A tournament selection approach for quality assurance of human computation tasks,"Sun, Y.-A., Xerox Innovation Group, 800 Philips Road, Webster, NY, United States, IIT Madras Research Park, Chennai, India; Roy, S., Xerox Innovation Group, 800 Philips Road, Webster, NY, United States, IIT Madras Research Park, Chennai, India; Little, G.D., MIT CSAIL, 32 Vassar Street, Cambridge, MA, United States",AAAI,2011,3
Fast local search algorithm for Weighted Feedback Arc Set in Tournaments,"Fomin, F.V., Department of Informatics, University of Bergen, Norway; Lokshtanov, D., Department of Informatics, University of Bergen, Norway; Raman, V., Institute of Mathematical Sciences, Chennai, India; Saurabh, S., Institute of Mathematical Sciences, Chennai, India",AAAI,2010,3
On the enactability of business protocols,"Desai, N., IBM, India Research Lab., Embassy Golf Links, Block D, Bangalore 560071, India; Singh, M.P., Department of Computer Science, North Carolina State University, Raleigh, NC 27695-8206, United States",AAAI,2008,3
Don't be strict in local search!,"Gaspers, S., University of New South Wales, Vienna University of Technology, Australia; Kim, E.J., LAMSADE-CNRS, UniversitÃ© de Paris-Dauphine, France; Ordyniak, S., Vienna University of Technology, Austria; Saurabh, S., Institute of Mathematical Sciences, India; Szeider, S., Vienna University of Technology, Austria",AAAI,2012,2
Choosing linguistics over vision to describe images,"Gupta, A., International Institute of Information Technology, Hyderabad 500032, India; Verma, Y., International Institute of Information Technology, Hyderabad 500032, India; Jawahar, C.V., International Institute of Information Technology, Hyderabad 500032, India",AAAI,2012,2
"Photo tagging over time: A longitudinal study of the role of attention, network density, and motivations","Russo, P., New York University, Polytechnic Institute, India; Nov, O., New York University, Polytechnic Institute, India",AAAI,2010,2
Fairness in combinatorial auctioning systems,"Saini, M., International Institute of Information Technology, Bangalore 560 100, India; Rao, S., International Institute of Information Technology, Bangalore 560 100, India",AAAI,2007,2
Domain-dependent parameter selection of search-based algorithms compatible with user performance criteria,"Srivastava, B., IBM India Research Lab, Indian Institute of Technology, Block 1, Hauz khas, Delhi 110016, India; Mediratta, A., IBM India Research Lab, Indian Institute of Technology, Block 1, Hauz khas, Delhi 110016, India",AAAI,2005,2
Distribution-aware sampling and weighted model counting for sat,"Chakraborty, S., Indian Institute of Technology, Bombay, India; Meel, K.S., Department of Computer Science, Rice University, United States; Fremont, D.J., University of California, Berkeley, United States; Seshia, S.A., University of California, Berkeley, United States; Vardi, M.Y., Department of Computer Science, Rice University, United States",AAAI,2014,1
Thinking like a child: The role of surface similarities in stimulating creativity,"Indurkhya, B., Department of Computer Science, International Institute of Information Technology, AGH University of Science and Technology, Hyderabad, India",AAAI,2013,1
Ladies first: Analyzing gender roles and behaviors in Pinterest,"Ottoni, R., Universidade Federal de Minas Gerais, Brazil; Pesce, J.P., Universidade Federal de Minas Gerais, Brazil; Casas, D.L., Universidade Federal de Minas Gerais, Brazil; Franciscani Jr., G., Universidade Federal de Minas Gerais, Brazil; Meira Jr., W., Universidade Federal de Minas Gerais, Brazil; Kumaraguru, P., Indraprastha Institute of Information Technology, India; Almeida, V., Universidade Federal de Minas Gerais, Brazil",AAAI,2013,1
Learning non-stationary space-time models for environmental monitoring,"Garg, S., Indraprastha Institute of Information Technology, Delhi, India; Singh, A., Indraprastha Institute of Information Technology, Delhi, India; Ramos, F., School of Information Technologies, University of Sydney, Australia",AAAI,2012,1
A new approach to ranking over-generated questions,"McConnell, C., University of Pennsylvania, Philadelphia, PA, United States; Mannem, P., International Institute of Information Technology, Hyderabad, India; Prasad, R., University of Wisconsin-Milwaukee, Milwaukee, WI, United States; Joshi, A., University of Pennsylvania, Philadelphia, PA, United States",AAAI,2011,1
Predicting the importance of newsfeed posts and social network friends,"Paek, T., Microsoft Research, One Microsoft Way, Redmond, WA 98052, United States; Gamon, M., Microsoft Research, One Microsoft Way, Redmond, WA 98052, United States; Counts, S., Microsoft Research, One Microsoft Way, Redmond, WA 98052, United States; Chickering, D.M., Microsoft Research, One Microsoft Way, Redmond, WA 98052, United States; Dhesi, A., Indian Institute of Technology Kanpur, Kanpur 208016 Uttar Pradesh, India",AAAI,2010,1
Tolerable manipulability in dynamic assignment without money,"Zou, J., School of Engineering and Applied Sciences, Harvard University, United States; Gujar, S., Dept of Computer Science and Automation, Indian Institute of Science, India; Parkes, D., School of Engineering and Applied Sciences, Harvard University, United States",AAAI,2010,1
Two approaches for building an unsupervised dependency parser and their other applications,"Gorla, J., Language Technologies Research Centre, International Institute of Information Technology, Hyderabad, India; Goyal, A., Language Technologies Research Centre, International Institute of Information Technology, Hyderabad, India; Sangal, R., Language Technologies Research Centre, International Institute of Information Technology, Hyderabad, India",AAAI,2007,1
A multiarmed bandit incentive mechanism for crowdsourcing demand response in smart grids,"Jain, S., Indian Institute of Science, Bangalore, India; Narayanaswamy, B., Department of CS, UCSD, India; Narahari, Y., Indian Institute of Science, Bangalore, India",AAAI,2014,
Evaluation schemes for safe AGI,"Nath, D.J., Independent Researcher, 306 Ansal Krsna, Adugodi, Bangalore, India",AAAI,2014,
Spectral thompson sampling,"KocÃ¡k, T., SequeL Team, INRIA Lille - Nord Europe, France; Munos, R., SequeL Team, INRIA Lille - Nord Europe, France, Microsoft ResearchNE, United States; Valko, M., SequeL Team, INRIA Lille - Nord Europe, France; Agrawal, S., ML and Optimization Group, Microsoft Research, Bangalore, India",AAAI,2014,
Backdoors into heterogeneous classes of SAT and CSP,"Gaspers, S., UNSW, NICTA, Sydney, Australia; Misra, N., Indian Institute of Science, Bangalore, India; Ordyniak, S., Masaryk Univ., Brno, Czech Republic; Szeider, S., Vienna Univ. of Technology, Vienna, Austria; Å½ivnÃ½, S., Univ. of Oxford, Oxford, United Kingdom",AAAI,2014,
R2: An efficient MCMC sampler for probabilistic programs,"Nori, A.V., Microsoft Research, Vigyan, #9, Lavelle Road, Bangalore 560 001, India; Hur, C.-K., Department of Computer Science and Engineering, Seoul National University, Seoul 151-744, South Korea; Rajamani, S.K., Microsoft Research, Vigyan, #9, Lavelle Road, Bangalore 560 001, India; Samuel, S., Microsoft Research, Vigyan, #9, Lavelle Road, Bangalore 560 001, India",AAAI,2014,
Approximate lifting techniques for belief propagation,"Singla, P., Department of Computer Science and Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi, 110016, India; Nath, A., Department of Computer Science and Engineering, University of Washington, Seattle, WA, United States; Domingos, P., Department of Computer Science and Engineering, University of Washington, Seattle, WA, United States",AAAI,2014,
Online optimization with dynamic temporal uncertainty: Incorporating short term predictions for renewable integration in intelligent energy systems,"Garg, V.K., Toyota Technological Institute at Chicago (TTI-C), United States; Jayram, T.S., IBM Almaden, United States; Narayanaswamy, B., IBM Research, India",AAAI,2013,
"On power-law kernels, corresponding Reproducing Kernel Hilbert Space and applications","Ghoshdastidar, D., Department of Computer Science and Automation, Indian Institute of Science, Bangalore - 560012, India; Dukkipati, A., Department of Computer Science and Automation, Indian Institute of Science, Bangalore - 560012, India",AAAI,2013,
English to Hindi translation protocols for an enterprise crowd,"Iyengar, S., TCS Innovation Labs, 54-B Hadapsar Industrial Estate, Pune 411013, India; Karande, S., TCS Innovation Labs, 54-B Hadapsar Industrial Estate, Pune 411013, India; Lodha, S., TCS Innovation Labs, 54-B Hadapsar Industrial Estate, Pune 411013, India",AAAI,2013,
Lottery-based payment mechanism for microtasks,"Celis, L.E., Xerox Research Centre India, India; Roy, S., Xerox Research Centre India, India; Mishra, V., Xerox Research Centre India, India",AAAI,2013,
Activity context-aware system architecture for intelligent natural speech based interfaces,"Heredero, G.G., Centre for Knowledge Driven Intelligent Systems, Enterprise Technology Research Labs., Infosys Limited, Hyderabad, India; Penmetsa, H., Centre for Knowledge Driven Intelligent Systems, Enterprise Technology Research Labs., Infosys Limited, Hyderabad, India; Agrawal, V., Centre for Knowledge Driven Intelligent Systems, Enterprise Technology Research Labs., Infosys Limited, Hyderabad, India; Shastri, L., Centre for Knowledge Driven Intelligent Systems, Enterprise Technology Research Labs., Infosys Limited, Hyderabad, India",AAAI,2013,
A study of sourceforge users and user network,"Yu, L., Computer Science Department, Indiana University, South Bend, IN, United States; Ramaswamy, S., ABB Corporate Research Center, Bangalore, India",AAAI,2013,
"Crowd, the teaching assistant: Educational assessment crowdsourcing","Manohar, P., Xerox Research Centre India, Prestige Technology Park-II, Etamin Block, Outer Ring Road, Bangalore- 560103, India; Roy, S., Xerox Research Centre India, Prestige Technology Park-II, Etamin Block, Outer Ring Road, Bangalore- 560103, India",AAAI,2013,
Sports video classification from multimodal information using deep neural networks,"Sachan, D.S., Dept. of Electronics and Electrical Engineering, IIT Guwahati, India; Tekwani, U., Dept. of Electronics and Electrical Engineering, IIT Guwahati, India; Sethi, A., Dept. of Electronics and Electrical Engineering, IIT Guwahati, India",AAAI,2013,
Designing an intelligent virtual agent for social communication in autism,"Bernardini, S., Department of Informatics, King's College London, London, United Kingdom; Porayska-Pomsta, K., London Knowledge Lab., Institute of Education, London, United Kingdom; Sampath, H., Center for IT in Education, IIIT-H, Hyderabad, India",AAAI,2013,
Content analytics system for social customer relationship management,"Nagarajan, M., IBM Research Almaden, United States; Contractor, D., IBM India Research, India; Dill, S., IBM Research Almaden, United States; Ajmera, J., IBM India Research, India; Ahn, H.-I., IBM Research Almaden, United States; Verma, A., IBM India Research, India; Denesuk, M., IBM Research Almaden, United States",AAAI,2013,
Crowdsourcing translation by leveraging tournament selection and lattice-based string alignment,"Bourdaillet, J., Xerox Innovation Group, 800 Philips Road, Webster, NY, United States; Roy, S., Xerox Research Centre India, Bangalore, India; Jung, G., Xerox Innovation Group, 800 Philips Road, Webster, NY, United States; Sun, Y.-A., Xerox Innovation Group, 800 Philips Road, Webster, NY, United States",AAAI,2013,
Scaling-up quadratic programming feature selection,"Prasad, Y., Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110016, India; Biswas, K.K., Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110016, India; Singla, P., Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110016, India",AAAI,2013,
Effect of task presentation on the performance of crowd workers - A cognitive study,"Sampath, H., International Institute of Information Technology, Hyderabad, India; Rajeshuni, R., International Institute of Information Technology, Hyderabad, India; Indurkhya, B., International Institute of Information Technology, Hyderabad, India; Karanam, S., Xerox Research Center, India; Dasgupta, K., Xerox Research Center, India",AAAI,2013,
Classification driven detection of opportunistic bids in TAC SCM,"Toshniwal, A., Center for Data Engineering, International Institute for Information Technology (IIIT), Hyderabad, India; Porwal, K., Center for Data Engineering, International Institute for Information Technology (IIIT), Hyderabad, India; Karlapalem, K., Center for Data Engineering, International Institute for Information Technology (IIIT), Hyderabad, India",AAAI,2013,
Activity-context aware computing for supporting knowledge-works,"Laha, A., C-KDIS, Infosys Labs., Infosys Ltd., Hyderabad, India; Shastri, L., C-KDIS, Infosys Labs., Infosys Ltd., Bangalore, India; Agrawal, V., C-KDIS, Infosys Labs., Infosys Ltd., Hyderabad, India",AAAI,2012,
Doodling: A gaming paradigm for generating language data,"Kumaran, A., Microsoft Research, Bangalore 560 025, India; Jauhar, S.K., University of Wolverhampton, Wolverhampton WV1 1LY, United Kingdom; Basu, S., Microsoft Research, Redmond, WA 98052, United States",AAAI,2012,
Towards analyzing micro-blogs for detection and classification of real-time intentions,"Banerjee, N., IBM Research - India, New Delhi, India; Chakraborty, D., IBM Research - India, New Delhi, India; Joshi, A., IBM Research - India, New Delhi, India; Mittal, S., IBM Research - India, New Delhi, India; Rai, A., IBM Research - India, New Delhi, India; Ravindran, B., Indian Institute of Technology, Madras, India",AAAI,2012,
Finding influential authors in brand-page communities,"Purohit, H., Kno.e.sis, Dept. of Computer Science and Engineering, Wright State University, United States; Ajmera, J., IBM Research, New Delhi, India; Joshi, S., IBM Research, New Delhi, India; Verma, A., IBM Research, New Delhi, India; Sheth, A., Kno.e.sis, Dept. of Computer Science and Engineering, Wright State University, United States",AAAI,2012,
Open government data for tackling corruption - A perspective,"Rajshree, N., IBM Research, India; Srivastava, B., IBM Research, India",AAAI,2012,
Challenges in learning optimum models for complex first order activity recognition settings,"Nair, N., Dept. of CSE, IIT Bombay Faculty of IT, Monash University, India; Saha, A., Dept. of CSE, IIT Bombay, India; Ramakrishnan, G., Dept. of CSE, IIT Bombay, IITB-Monash Research Academy, India; Krishnaswamy, S., Institute for Infocomm Research (I2R), Singapore Faculty of IT, Monash University, Australia",AAAI,2012,
Global dynamics of online group conversations,"Bhatt, R., Yahoo Labs, Bangalore, 560071, India; Barman, K., Tata Institute of Fundamental Research, Mumbai, 400 005, India",AAAI,2012,
Identifying microblogs for targeted contextual advertising,"Dave, K., IIIT-Hyderabad, Hyderabad, India; Varma, V., IIIT-Hyderabad, Hyderabad, India",AAAI,2012,
Activity context aware digital workspaces and consumer playspaces: Manifesto and architecture,"Agrawal, V., Center for Knowledge Driven Information Systems, Infosys Labs., Infosys Limited, Bangalore, India; Heredero, G.G., Center for Knowledge Driven Information Systems, Infosys Labs., Infosys Limited, Bangalore, India; Penmetsa, H., Center for Knowledge Driven Information Systems, Infosys Labs., Infosys Limited, Bangalore, India; Laha, A., Center for Knowledge Driven Information Systems, Infosys Labs., Infosys Limited, Bangalore, India; Shastri, L., Center for Knowledge Driven Information Systems, Infosys Labs., Infosys Limited, Bangalore, India",AAAI,2012,
Relative attributes for enhanced human-machine communication,"Parikh, D., Toyota Technological Institute, Chicago, United States; Kovashka, A., University of Texas, Austin, TX, United States; Parkash, A., Indraprastha Institute of Information Technology, Delhi, India; Grauman, K., University of Texas, Austin, TX, United States",AAAI,2012,
Automatically generating algebra problems,"Singh, R., MIT CSAIL, Cambridge, MA, United States; Gulwani, S., Microsoft Research, Redmond, WA, United States; Rajamani, S., Microsoft Research, Bangalore, India",AAAI,2012,
A grounded cognitive model for metaphor acquisition,"Nayak D, S., Indian Institute of Technology, Kanpur, India; Mukerjee, A., Indian Institute of Technology, Kanpur, India",AAAI,2012,
